"","birth_yr","registered_voter","gender","race_eth","educ","pid7","ideology","income","facets_1","facets_2","facets_3","facets_4","facets_5","facets_6","facets_7","facets_8","facets_9","facets_10","facets_11","facets_12","facets_13","facets_14","facets_15","facets_16","facets_17","facets_18","facets_19","facets_20","big_five_1","big_five_2","big_five_3","big_five_4","big_five_5","big_five_6","big_five_7","big_five_8","big_five_9","big_five_10","vote","prefered_candidate","talk_politics","display_sign","persuade_vote","donate","written_politician","vote_2012","abortion","birth_citizenship","gay_marriage","affirmative_action","guns","global_warming","anger","breakfast_control","anger_politics","salience","cand_strong_position","compromise","blame_other_party","govt_corrupt","govt_unresponsive","govt_satisfied","vote_likelihood_2016","talk_about_2016","donate_likelihood16","display_yard_sign16","work_campaign16","attend_rally16"
"1246","1948","1","1","1","2","7","5","7","2","1","1","3","3","4","4","4","4","4","1","2","2","1","1","4","4","4","4","4","4","1","6","1","4","6","6","1","6","3","1","18","2","2","2","2","2","1","3","1","3","4","3","3","dealing with other drivers on the road","","","","2","1","4","2","4","7","1","2","7","7","7","6"
"1247","1957","1","1","1","4","2","6","12","4","4","1","2","2","4","4","5","5","4","2","1","1","1","1","3","2","2","4","4","3","2","7","3","7","6","6","1","6","4","1","18","1","2","2","2","2","1","3","2","1","1","1","1","","","When they don't keep promise ","","2","3","5","6","7","8","4","3","3","3","2","2"
"1248","1956","1","2","4","4","6","6","3","4","4","2","4","4","4","4","2","2","4","2","4","4","2","4","2","2","2","4","4","5","2","5","3","6","6","6","2","6","2","1","18","8","1","1","1","1","1","2","1","3","1","2","4","","","","This election is the first time in a long time that I really cared about an election. Often in the past I just voted the lesser of two evils, but in this election I care. I like Trump I thinkl he will make a great President. Hillary Clinton scares me. ","1","1","1","9","9","3","1","3","1","1","4","2"
"1249","1978","1","1","1","6","1","1","10","1","1","1","1","1","5","5","5","5","5","1","1","1","1","1","1","1","1","5","5","7","1","7","1","7","7","7","1","7","7","1","1","6","1","1","1","1","1","1","1","1","1","1","1","","","very good","","1","1","1","10","10","10","1","1","1","1","1","1"
"1250","1978","1","2","1","3","1","1","5","5","4","5","5","5","1","2","2","1","1","4","4","4","3","5","2","2","1","2","5","1","5","5","7","5","3","5","3","4","2","2","1","2","2","1","2","2","2","4","2","1","2","1","1","","","","I have severe anxiety over the fact that I am living in a Country where people think that the bigoted, limited, hateful views of a candidate like Donald Trump align with their values.  It has opened my eyes to the disgusting racism that is rampant in our society. ","2","2","2","4","5","6","1","2","7","3","5","6"
"1251","1966","1","2","1","1","3","4","9","4","3","3","4","3","3","3","2","3","3","2","2","2","1","2","3","4","2","4","5","4","2","6","4","5","6","6","2","4","5","2","2","2","2","2","2","2","1","4","3","1","3","1","2","","I ate a plain toasted bagel with butter. That is my usual breakfast it satisfies my hunger until linch.","","","2","2","4","6","7","5","2","3","7","7","7","6"
"1252","1964","1","1","1","4","1","2","2","2","3","3","2","4","2","3","2","4","3","2","2","2","2","2","4","4","3","5","4","5","4","6","3","5","4","7","1","7","2","1","1","1","2","2","2","2","1","1","1","1","1","1","1","","","all I need to say thrump makes me upset","","1","1","7","4","5","8","1","4","7","7","7","7"
"1253","1967","1","2","1","2","7","4","3","5","4","2","3","2","4","4","3","3","2","3","5","4","4","2","4","2","2","2","4","4","2","6","3","4","6","7","1","5","4","2","18","4","1","1","2","2","2","4","2","1","5","3","4","When Hilary Clinton was not prosecuted for her emails.","","","","4","2","4","8","8","2","7","1","7","1","7","1"
"1254","1965","1","1","1","4","7","6","6","1","1","1","1","1","4","4","3","3","4","1","1","1","1","1","5","4","4","4","4","4","1","6","1","5","6","4","1","6","4","1","18","4","1","2","2","2","1","4","1","3","4","3","2","I have not been angry in a long time.","","","","2","2","1","8","9","1","1","1","2","2","4","2"
"1255","1947","1","1","1","5","1","2","12","4","4","1","3","3","3","3","2","2","3","3","3","3","2","3","2","2","3","3","3","4","4","6","4","5","3","4","4","4","3","1","1","3","2","2","1","1","1","4","2","1","1","1","1","","","Trump makes me crazy","","1","1","4","2","0","7","1","1","1","3","5","6"
"1256","1951","1","2","1","4","2","3","5","4","3","3","3","2","2","3","3","2","3","3","4","3","2","2","3","4","3","3","3","3","3","6","4","5","4","5","3","4","4","1","1","3","2","2","2","2","1","4","1","2","2","1","2","","I only drank coffee and felt invigorated by it.","","","1","2","6","7","9","3","1","4","4","4","4","4"
"1257","1966","1","2","1","1","1","3","6","4","3","4","4","3","2","3","3","4","3","2","3","3","2","2","2","2","3","4","4","5","4","5","4","5","5","5","3","4","3","1","1","3","2","2","2","2","1","2","2","2","5","1","1","","","I felt angry when donald trump didnt pay his fair share of taxes when everyone else has to.","","4","3","4","7","6","2","1","3","7","4","7","7"
"1258","1993","1","2","5","2","6","7","5","3","3","3","2","2","4","4","4","3","3","1","1","1","1","1","4","4","4","5","4","7","3","6","2","5","4","7","1","7","1","2","7","3","2","2","2","2","2","1","2","2","1","2","2","","","I am a conservative so when same sex marriage was legalized I became very upset. It is a sexual preference and not a civil rights movement that needed legal justification. ","","2","4","3","8","10","0","4","3","7","7","7","7"
"1259","1976","1","2","6","4","3","3","10","4","4","3","4","4","2","3","2","1","3","3","3","3","1","3","2","4","3","3","4","5","3","5","4","5","5","6","4","6","5","1","1","1","2","2","2","2","1","2","2","1","3","1","2","Someone said something that I did not do","","","","1","2","3","5","5","2","2","7","6","7","7","7"
"1260","1989","1","2","1","2","2","3","4","4","3","3","3","2","4","4","4","3","3","2","3","2","1","2","4","4","4","4","4","5","3","6","3","7","4","5","2","7","2","2","2","5","1","1","2","2","1","3","2","1","4","1","2","The last time I became VERY ANGRY was when my son was nearly three years old. My daughter was very young, still an infant, and we were doing some shopping. I was getting ready to push the cart in the direction of the door when we were stopped by a little, old lady. She proceeded to talk to both of my kids, waiting for my son to respond. My son has non-verbal classic autism, neurofibromatosis type 1, and a seizure condition. He does not speak. I explained this to her. Without missing a beat she looks me right in the eyes and says, ""don't worry, he'll be whole in heaven"" and walks away. He'll be whole in heaven? He's whole now! My son has special needs, special needs does not have him.","","","","1","2","7","6","8","4","1","1","2","2","4","3"
"1261","1980","1","1","1","4","4","4","10","1","1","1","1","1","5","5","5","5","5","1","1","1","1","1","1","5","5","5","5","7","1","7","1","7","4","5","1","7","1","1","9","3","2","1","2","1","1","4","1","2","4","2","5","","","the uninformed nonworking class getting handouts of tax payer money along with illegals being brought here to vote demoncrat","","1","5","1","10","10","0","1","1","4","1","5","5"
"1262","1950","1","1","1","4","4","4","3","2","3","2","2","2","4","4","3","4","4","2","2","2","2","2","2","3","4","4","4","4","2","6","2","6","6","6","2","6","4","1","18","4","2","2","2","1","1","3","1","3","4","2","3","Stopped by the police for no apparant reason.  They could not give me a legitimate reason why I was pulled over.  They were just on a fishing expedition.","","","","2","3","3","9","8","1","1","2","4","4","4","4"
"1263","1965","1","2","1","4","7","7","8","2","2","2","1","2","4","5","4","4","2","2","3","1","1","1","3","4","3","4","1","3","1","4","3","4","5","4","1","-99","5","2","9","2","1","1","2","2","1","2","3","2","3","3","5","","coffee.  Love the smell / yogert and banana very filling.  Happy  that I had good food","","","2","4","4","6","7","8","1","2","4","1","5","5"
"1264","1953","1","1","1","2","6","5","14","4","2","1","1","2","3","3","4","3","3","1","1","1","1","1","1","-99","4","4","4","4","1","6","1","6","6","6","1","6","1","-99","18","1","2","2","2","2","1","4","3","3","4","1","3","Feel bad after I calm down","","","","4","2","4","0","0","5","1","7","7","7","7","7"
"1265","1983","1","1","1","4","2","4","7","4","2","2","2","1","2","4","4","2","4","2","2","2","2","2","2","2","2","4","2","6","5","6","5","6","6","6","2","6","4","1","1","8","2","2","2","2","1","3","2","2","1","3","1","","","","all political enrealidad are friends who are in a theater bout and earn more at work here the best.","2","2","7","5","4","8","2","2","4","5","5","5"
"1266","","1","2","-99","4","4","4","-99","3","3","3","3","3","3","3","4","4","3","3","3","3","3","4","4","3","3","3","3","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","2","-99","1","2","2","2","2","-99","-99","-99","-99","-99","-99","-99","","","all the time","","4","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99"
"1267","1991","1","2","5","4","1","2","6","4","1","2","2","3","4","5","4","3","4","1","1","1","2","1","3","4","4","5","4","3","1","6","4","5","6","6","1","7","4","1","1","4","2","2","2","2","1","4","2","1","1","1","1","","","","the last time that i thought about politics it made me feel somber. I realized that we are in a very divided time. i feel that there are a certain sect of people that feel the pendulum has swung too far in one direction and so that makes them feel that it must then swing completely in the opposite direction. this can be frustrating when people do not realize that that answer has shown to be erroneous. but i also understand that  as citizens of this country we have to be open to opposing view points","2","2","3","5","6","4","1","2","4","4","3","4"
"1268","1954","1","2","1","4","3","3","11","4","3","4","2","2","3","4","2","2","4","2","2","3","2","3","4","3","4","4","4","6","2","6","2","6","1","6","1","5","1","1","2","4","2","2","2","2","1","4","3","1","3","1","1","","I had delicious bakery bread and some strawberries and cranberry juice.  I felt happy and relaxed.","","","4","3","5","8","7","2","1","3","6","6","6","6"
