CASEID,v161116,v161121,v161236,v161158x,v161126,v161342,v161310a,v161270,v161215,v162011,v162010,v162012,v162013,v162014,v162016,v162017,v162018a,v162196,v162018b,v162019,v162216,v162215
300210, 5, 1, 5, 7,99, 2, 1, 9, 5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300212, 1, 1, 2, 1, 4, 1, 1, 4, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300215, 1, 1, 1, 4, 4, 2, 1,14, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
300217, 4, 2, 3, 6, 5, 2, 1,12, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300222, 1, 4, 1, 1, 2, 2, 1,13, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 4, 2
300224, 1, 5, 1, 1, 3, 2, 1,13, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4
300227, 1, 2, 1, 4, 5, 1, 1, 9, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3
300228, 2, 5, 1, 1, 2, 2, 1,13, 3, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 3, 2
300230, 2, 1, 1, 7,99, 1, 1, 8, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1
300232, 2, 2, 1, 1, 1, 2, 1, 3, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300234, 1, 1, 1, 3, 3, 1, 1,13, 4, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2
300235, 2, 4, 2, 6, 5, 1, 1, 9, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 4, 3
300237, 1, 2, 1, 3, 4, 2, 1,11, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2
300238, 2, 4, 2, 3, 4, 1, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3
300240, 2, 1, 4, 5,99, 2, 1,10, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3
300242, 2, 3, 5, 5, 4, 2, 1,10, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3
300244, 4, 2, 3, 5, 5, 1, 1,13, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2
300245, 1, 1, 1, 3,99, 1, 0,10, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3
300246, 1, 3, 1, 2,99, 1, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
300248, 5, 2, 5, 4, 4, 2, 1, 9, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1
300250, 5, 2, 2, 5, 4, 1, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2
300252, 1, 5, 3, 1,99, 1, 1,13, 3, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2
300254, 1, 1, 2, 1,99, 2, 1, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300255, 4, 3, 4, 6, 4, 2, 1,10, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 4, 2
300256, 5, 1, 2, 5,99, 2, 1,11, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1
300259, 4, 2, 4, 7, 5, 2, 1,11, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300261, 3, 2, 4, 5, 4, 2, 0, 9, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3
300264, 3, 3, 2, 5, 4, 2, 1,11, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300267, 4, 1, 3, 6, 6, 1, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300269, 2, 2, 1, 6, 3, 2, 0,12, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 4, 4
300270, 1, 4, 1, 3, 2, 2, 1,13, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 5, 4
300273, 4, 1, 1, 6, 6, 1, 1,10, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 4, 3
300276, 2, 3, 2, 5, 4, 1, 1,11, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1
300278, 4, 1, 5, 5, 5, 2, 0, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1
300279, 2, 3, 5, 1,99, 1, 1, 9, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300280, 4, 5, 2, 3, 4, 2, 1,95, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1
300282, 2, 4, 2, 3, 4, 2, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1
300284, 5, 1, 5, 7, 4, 2, 1,11, 4, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
300289, 3, 2, 1, 3, 4, 1, 1,13, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 1
300297, 3, 4, 2, 1, 4, 1, 1,13, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3
300299, 3, 5, 1, 3, 1, 2, 1,13, 4, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 4, 2
300303, 2, 4, 1, 6,99, 2, 1,13, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300304, 4, 1, 3, 7, 7, 2, 1,10, 4, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2
300307, 5, 2, 2, 5, 5, 2, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4
300312, 3, 5, 1, 1, 2, 2, 1,14, 4, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 1
300313, 2, 1, 3, 7, 6, 2, 1,14, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1
300317, 1, 5, 2, 1, 1, 1, 1, 9, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300322, 4, 2, 2, 4,99, 2, 1,10, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300325, 1, 5, 1, 2, 5, 1, 1, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300326, 2, 4, 2, 1, 2, 1, 1,13, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 4, 4
300327, 3, 1, 2, 7, 4, 1, 1, 9, 5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300333, 4, 2, 3, 4, 6, 1, 1, 9, 5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300334, 2, 4, 1, 1, 5, 2, 0,13, 4, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 4, 3
300335, 2, 2, 2, 3, 3, 1, 1,13, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 5
300336, 4, 3, 2, 1, 5, 1, 1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 1
300339, 1, 5, 1, 1, 2,-9, 1,13, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
300342, 4, 5, 2, 5,99, 2, 1,10, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4
300343, 1, 4, 1, 2, 2, 1, 0, 9, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2
300344, 1, 4, 1, 1, 2, 1, 1,13, 3, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2
300345, 5, 1, 4, 5, 4, 2, 1,10, 5, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1
300352, 2, 2, 2, 5, 4, 1, 1,11, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300360, 3, 2, 1, 2, 4, 2, 1,10, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1
300361, 3, 1, 3, 5, 4, 1, 1,11, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1
300363, 5, 2, 4, 5, 6, 1, 0,11, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1
300364, 1, 4, 1, 1, 2, 2, 1,14, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 5, 2
300371, 1, 5, 1, 1, 1, 2, 1,13, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 5, 4
300375, 5, 2, 5, 2,99, 1, 1, 8, 3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300376, 3, 4, 2, 3, 2, 1, 1,13, 4, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1
300377, 1, 2, 1, 1, 6, 1, 0, 9, 4, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
300383, 4, 3, 3, 7, 6, 2, 0, 9, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2
300386, 2, 1, 2, 4,99, 2, 1,10, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3
300387, 4, 2, 2, 5, 5,-9, 1,13, 4, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 4, 3
300389, 2, 4, 2, 2, 4, 2, 1,14, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 4, 4
300393, 4, 2, 2, 7, 4, 2, 1,10, 3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300398, 2, 5, 2, 2, 4, 2, 1,10, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3
300400, 4, 2, 4, 7, 5, 2, 1,13, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1
300402, 5, 1, 4, 7,99, 1, 1,12, 3, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2
300403, 5, 5, 3, 5,99, 1, 0,10, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300404, 2, 4, 1, 1, 2, 2, 1,14, 3, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 4, 4
300406, 1, 1, 1, 1,99, 2, 1, 9, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300408, 2, 2, 3, 7, 6, 1, 1,13, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2
